계정과목,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월
Tag매출,1393743753,523788706,824075072,794864971,500543534,442092925,673244242,1215424701,1289351272,943335567,615976701,829349206
실판매출,"591,002,989","233,675,314","349,360,629","340,026,521","235,662,934","203,854,049","291,327,613","483,197,093","522,539,887","415,966,813","286,064,521","362,115,686"
매출원가,"385,411,188","147,969,481","252,144,078","242,982,027","140,886,778","126,829,003","180,991,336","378,402,485","431,382,302","320,997,154","205,639,152","270,085,553"
평가감,"-3,831,057","-3,831,057","-3,831,057","-3,676,478","-3,676,478","-3,676,478","335,252","335,252","-999,689","5,865,364","6,722,813","7,012,345"
급여(매장),"2,506,047","3,728,319","2,685,247","2,840,964","2,217,878","2,335,681","2,176,072","2,341,890","2,277,042","4,342,228","2,739,439","3,432,583"
복리후생비(매장),"1,391,154","1,137,746","1,328,431","1,190,499","1,269,042","1,202,738","1,151,156","1,855,872","1,414,166","1,462,591","1,652,369","1,475,243"
플랫폼수수료,"3,563,814","2,738,988","3,531,588","3,149,436","3,332,328","3,885,687","1,931,849","2,272,565","2,964,833","5,593,421","8,202,293","4,702,030"
TP수수료,"2,728,533","3,009,913","3,247,878","2,561,609","2,972,523","3,573,697","1,682,623","2,246,797","2,292,568","4,299,104","3,890,555","3,201,888"
직접광고비,"8,187,080","3,685,605","7,181,921","3,361,879","7,302,307","7,657,332","1,770,332","3,768,738","6,040,150","16,035,726","15,023,426","8,977,787"
대리상지원금,"20,878,578","7,025,367","11,284,976","10,925,523","6,407,581","6,085,184","10,131,992","18,525,000","19,528,909","11,509,502","7,544,958","-9,655,707"
물류비,"8,235,561","4,441,882","7,365,555","6,006,777","5,751,143","4,896,266","4,977,027","8,155,408","6,093,758","6,357,803","6,918,862","8,241,595"
매장임차료,"13,929,012","13,051,524","11,196,509","11,845,663","12,062,435","10,443,446","9,920,961","9,573,378","9,951,765","12,344,449","11,252,095","11,888,248"
감가상각비,"977,265","1,000,612","1,070,380","1,046,984","1,049,785","947,692","1,016,603","940,703","1,016,451","1,108,507","1,023,396","1,031,176"
기타(직접비),"1,433,923","960,331","1,180,789","1,205,525","1,245,004","1,623,210","890,873","1,795,810","1,331,941","2,074,669","1,283,087","1,939,288"
급여(사무실),"6,257,263","9,701,173","5,019,726","6,605,474","6,848,599","6,984,367","6,679,099","6,728,296","6,658,159","6,759,765","6,628,058","6,506,166"
복리후생비(사무실),"3,506,992","2,130,159","1,924,670","1,711,066","1,963,016","2,106,739","1,855,838","2,169,088","2,335,073","2,241,785","2,253,897","2,841,249"
광고비,"22,568,832","8,097,530","7,501,973","9,655,616","5,176,532","3,001,910","4,058,698","18,049,788","15,586,843","12,842,549","11,208,832","9,273,591"
수주회,0,"210,548",0,0,0,"8,657,620",0,"-207,503",0,0,0,0
지급수수료,"1,013,888","1,396,740","1,020,176","1,453,571","1,142,066","1,277,360","895,641","735,797","1,372,257","1,524,776","917,491","1,691,029"
임차료,"1,253,509","1,528,055","1,528,379","1,524,366","1,525,880","1,526,379","1,525,605","1,539,090","1,545,824","1,601,591","1,660,064","1,675,209"
감가상각비(영업비),"499,445","490,706","490,824","478,099","487,896","475,640","476,434","501,727","506,450","510,931","510,941","347,190"
세금과공과,"3,155,403","176,977","221,101","165,506","1,956,275","1,453,402","885,569","287,724","1,557,420","298,617","331,911","2,608,951"
기타(영업비),"353,968","312,074","353,350","407,898","182,441","623,969","299,407","242,881","335,533","349,045","398,825","437,432"
